Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1931,6.9,7.2,4.6,7.2,5.3,6.9,9,6.2,7,5.7,5.4,5.3,6.4
1932,4.8,6.2,5.7,5.9,5.7,7.8,5.6,6.8,8,5.6,5.9,6.1,6.2
1933,5.3,5.5,7.3,7,6.3,7.2,6.9,6.8,5.1,6.7,5.3,5.6,6.3
1934,5.2,6,6,7.7,5,7.8,7.6,6,8.1,5.9,5,5.4,6.3
1935,5,6.6,5.8,6,5.7,7.1,7.2,6.2,8.1,5.2,6.2,5.5,6.2
1936,5.3,7.2,5.9,7.1,7.7,7.6,6.9,7.8,5.8,6.2,5.3,5.8,6.6
1937,6.9,7.4,6.6,7.2,6.7,7.2,7.7,4.7,7.1,6.2,6.5,5.2,6.6
1938,6.3,5.6,6.5,6.2,7.6,8,7.7,7.2,6.3,7,4.3,5.3,6.5
1939,6.9,6.6,6.6,7.4,6.4,8.1,7.4,6.4,5.6,7.4,5.7,4.8,6.6
1940,5.9,7.4,6.5,6.5,6.5,6.8,7.2,6.9,6.5,5.7,6,6.3,6.5
1941,5.6,6.9,5.9,5.7,7.1,8.1,8.8,7.2,8.1,4.9,5.8,6,6.7
1942,5.7,7.5,6.7,5,6.7,8.3,5.3,6.4,6.7,5.4,5.2,6.1,6.3
1943,5.4,6.2,6.3,5.6,6.4,7.6,7.2,5.2,7.2,5.8,5,4.8,6.1
1944,6.4,6.2,6.1,6.3,6.8,6.4,6.6,5.9,5.9,6.9,6.8,6.2,6.4
1945,5.5,5.9,6.3,4.7,7,7.6,7.8,5.4,7.7,6.9,5.1,5.9,6.3
1946,5.9,6.4,7.2,6.2,6.9,8.7,5.4,6.8,7,6.3,6.3,6.4,6.6
1947,7.3,5.2,6.5,5,7.2,8.9,7.6,5.4,7,6.7,4.8,6.4,6.5
1948,5.5,6.7,6.5,6.7,7.7,6.6,7.9,5.9,6.8,6.3,6.2,6.3,6.6
1949,5.3,6.8,6.9,6,6.9,8.8,7.4,5.5,7.1,6.6,7,6.5,6.7
1950,7.6,7.3,6.2,6.5,7.9,8.3,7.1,5.7,7.2,6.6,6.6,6.6,7
1951,6.8,7.8,6.5,7.5,6.5,7,7.3,6.5,7.4,6.5,6.2,5.5,6.8
1952,7.1,7.7,7.4,6.8,6.2,8.3,7,5.8,7.8,5.6,5.4,5.3,6.7
1953,6.4,6.8,6.9,5.9,7.1,8.8,7.8,7.1,7.2,5.5,5.5,5.4,6.7
1954,7.2,5.8,5.9,6.6,7.3,8.7,8.4,5.4,6.2,7.3,4.3,5.9,6.6
1955,6,6.3,8.2,6.6,6.9,8.3,5.8,5.1,6.5,7.3,4.2,4.5,6.3
1956,5.8,6.2,6.9,6,8,8,6.4,5.5,6.8,7.2,4.7,4.8,6.4
1957,6.5,6.4,6.2,6,6.8,8.2,8.9,6.6,7.8,5.9,4.9,6.4,6.7
1958,6.2,5.9,5.6,6.9,6.3,7.1,7.9,7,6.7,6.7,5,6.1,6.5
1959,6.1,7.3,6.6,6.5,6.4,7.3,7.1,5.8,6.5,5.9,5,5.2,6.3
1960,5.4,4.9,6.6,5.8,6.7,7.6,5.6,5.6,7.8,5.2,6.1,4.7,6
1961,5.7,6.3,5.9,5.6,7.2,7.9,7,6.2,5.6,7.5,5.8,5.5,6.4
1962,5.7,5.9,5.4,6.1,6.2,8.5,7.4,5.6,6.1,5.6,5.8,5.7,6.2
1963,5,6.6,5.8,7.1,8.9,8.8,6.6,6.9,7.3,5.5,5.5,5.3,6.6
1964,8.1,7,6.4,7.7,5.3,8.1,6.7,5.6,7,6.3,4.9,4.9,6.5
1965,5.8,6,5.6,6.4,7.1,6.8,8,3.8,6.9,3.8,5.5,6.4,6
1966,5.5,5.8,6.5,7,6.1,8.2,7.1,6.3,6.6,5.3,4.7,6.1,6.3
1967,4.9,5.7,5.5,7.2,5.1,6.6,7.7,6,6.6,5.8,6.5,4.7,6
1968,6,5.1,6.2,5.9,6.8,7.3,7.7,7.3,7.5,6.6,3.6,6.2,6.4
1969,6.2,7.4,6.9,6.4,5.6,6.7,7.7,6.2,6.7,5.7,5.3,4.3,6.3
1970,5.6,5.8,6.5,7.3,6.6,8.4,7.2,6.1,7.3,5.8,5.5,5.9,6.5
1971,6,6.9,5.8,5.1,7.3,8.7,7.8,6.8,7.4,6.7,5.1,5.4,6.6
1972,6.6,7.4,6,6.1,6.4,7.3,7.7,6.2,5.5,5.4,6,5.7,6.4
1973,6.6,6.9,6.3,6.8,6.2,7.5,5.2,6.1,7.6,6.2,4.3,3.9,6.1
1974,6.1,6.6,6.7,6,6.6,7.3,8.1,5.4,7.4,6.3,5.2,6.5,6.5
1975,6.2,6.7,6.3,7,7.5,8,6.7,6.3,5.4,7.1,4.6,6,6.5
1976,5,7,6.6,7.4,7.1,8.6,7.4,6.5,6.5,6,5.8,5,6.6
1977,6.1,5.4,6.5,6.2,6.4,8.1,6.9,7.8,6.7,3.6,5.6,5.5,6.2
1978,6.2,6.4,5.8,6,6.9,6.9,4.8,4.4,6.9,5.5,5.4,4.9,5.8
1979,4.9,6.4,6.2,6.5,5.4,7.7,7.5,6.7,7.4,4.2,6,5,6.2
1980,5.9,4.9,6.4,6.2,6.3,8.6,8.6,9.2,6.4,6.4,5.8,4.5,6.6
1981,5.1,6.5,6.4,6.1,6.4,7.7,7.2,6.9,7.4,6.3,6.9,5.8,6.6
1982,5.4,6.6,6,6.3,5.9,7.6,8,7.7,8.1,5.1,7.1,5.3,6.6
1983,5.8,5.4,7.5,6.9,5.9,7.3,7.7,6.5,7.5,6,5.5,5.4,6.5
1984,6.1,7.2,5.9,6.7,6.1,8.6,7.7,5.6,7,6.1,5,5.7,6.5
1985,5.8,7.6,7.9,5.8,7,8.2,6.5,4.8,7.3,6.3,5.9,5.8,6.6
1986,5.8,6.5,6.2,6.2,6.9,7.5,7.9,6.3,6.6,5.5,6,6.3,6.5
1987,6.8,6.6,7.8,6.2,6.9,5.9,7.8,6.7,7.2,6,5.3,4.8,6.5
1988,6.3,7,7.7,6.4,6.6,7.5,8.4,7.6,7.8,6.1,4.6,5,6.8
1989,7.3,7.4,6.5,6.8,7.2,8.1,8.1,7,8,4.9,5.6,5.4,6.9
1990,6.9,8.1,6.5,6.4,7.4,7.7,7.6,5.2,7.4,6.7,5.7,6,6.8
1991,6.8,6.3,7.7,6.5,7.8,8.9,8.6,7.1,7.2,7.3,5.6,5.9,7.1
1992,6.3,6.6,8.2,6.1,6.8,8,8.1,7.6,7.1,6.6,5.4,6.7,7
1993,7.2,6.5,6.4,5.7,7.4,8.4,9.1,8.1,8.5,6.2,6.6,6.3,7.2
1994,6.1,7.6,6.5,7,6.8,7.8,6.2,5.2,6.5,6.4,6,7.2,6.6
1995,6.4,6.2,6.4,7,7.3,8.8,8.1,4.9,7.9,5.7,5.5,6.9,6.8
1996,7.1,6.6,7.8,5.9,7.2,8.9,7.1,7,7.6,6.4,7.1,4.7,7
1997,6.8,6.5,6.6,6.6,7.5,8,7.7,6.5,6.7,4.5,5.7,6.5,6.6
1998,6.7,6.6,7.1,7.2,7.9,8.7,8.1,8.7,7.6,7.5,6,5.7,7.3
1999,6.1,6.2,7.7,7,6.6,8.4,8.1,7.9,7.7,6.6,5.6,6.1,7
2000,6.9,7.4,6.5,6.5,7,8.2,7.1,5.9,6.4,7.4,6.8,5.8,6.8
2001,7,7.1,6.7,6.4,7.9,9,6.5,6.7,6.7,6.4,5.4,6.1,6.8
2002,7,6.9,5.9,7.2,7.9,7.8,8.1,7.1,7.1,5.4,6,7.3,7
2003,6.9,6.7,7.7,7.9,7.3,8.9,9.1,8.6,6.7,6.2,7.3,6.5,7.5
2004,6.8,5.3,6.1,5.4,8.2,7.4,6.8,7.8,8.5,6.3,5.3,6.3,6.7
2005,6.7,7.6,6.6,5.6,7,8.3,8.1,8.1,7.9,7,5,6.4,7
2006,7.5,7.4,6.1,7.1,7.9,8.5,9.2,6.6,7.6,5.8,6.3,6.9,7.2
2007,6.8,5.8,6.3,6.9,6.7,8.6,8.3,7,7.6,6.3,6.4,6.4,6.9
2008,7.5,7.4,6.2,6.7,7,8.8,7.2,7.8,7.4,6.2,6.9,4.9,7
2009,6.8,7.1,6.7,5.9,8,8.3,9.3,7.5,6.3,6,6.6,5.5,7
2010,5.8,7.5,7.6,7.6,7.6,7.9,8.4,6.3,7,7.9,5.6,5.9,7.1
