Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1889,,,,,,,,,142.7,156.5,147.9,115,562.1
1890,125.1,110.2,136.4,138,144.2,179.6,199.4,226.1,202.2,143.6,140.2,112.1,1857.1
1891,107.1,111.4,168.1,211.3,293.3,207.4,159.5,221.2,150.4,250.1,173.4,165.9,2219.1
1892,153.3,150.8,153.8,178.2,199.3,117.9,198.5,264,156.4,158.1,160.5,158.7,2049.5
1893,151,141.3,209.6,203.3,169.9,188.7,294.9,242.3,170.1,161.4,176.8,147.4,2256.7
1894,129.2,171.3,161.2,167.9,242.3,209.4,256,261.8,166.5,170.6,199.9,138,2274.1
1895,183,180.2,168.4,213.1,215.7,175.2,128.6,236.1,167.7,173.3,155.4,164.8,2161.5
1896,152.3,137.9,170.5,171.3,200.5,135.3,199.9,237.5,156.5,178.5,187.2,160.6,2088
1897,126.8,161.8,170.7,206.1,191.9,235.3,213.6,268.5,150.4,225.6,167.9,168.4,2287
1898,129.8,156,152,220.1,244.8,188.5,264.3,259.2,206.3,206.4,153.9,150.1,2331.4
1899,187.7,146.2,231.1,224.4,212,199.7,216.1,217.7,137.3,197.3,174.7,128.9,2273.1
1900,139.3,145,183.7,198.1,256.1,247.8,172.2,233.7,186.6,188.3,153.1,150.2,2254.1
1901,104.1,147,223.3,174.8,208.2,175.8,159.9,266.3,210.4,151.2,150.5,171,2142.5
1902,156,180.3,184.1,176.5,182.8,195.5,156.7,185.6,175,196.7,152,116.9,2058.1
1903,133.6,125.8,136.9,152,201,194.3,135.6,277.3,188.8,151.9,165.5,142,2004.7
1904,138.7,159,159,158.5,174.7,180.9,218.7,278.1,177.2,140.3,157.3,141.4,2083.8
1905,107,152.3,165,170.3,199.7,124.7,227.2,169,174.3,179.8,174.4,119.5,1963.2
1906,138.6,114.3,178.5,229.5,217.7,168.6,200.6,208,137.7,165.5,145.7,164.4,2069.1
1907,144.7,157.1,186.5,226.4,248.6,182.3,197.4,215.8,167.1,184.2,149.2,159.9,2219.2
1908,103.8,132.1,169.7,180.5,247.3,213.1,218,212.8,166,202.3,164.3,156.1,2166
1909,118.9,145.4,174.8,217.8,256.2,152.2,225.7,255.5,132.7,180,184.4,153.1,2196.7
