AD,Reconstructed Temp, Observed Temp
801,-999.9,-999.9
802,-999.9,-999.9
803,-999.9,-999.9
804,-999.9,-999.9
805,-999.9,-999.9
806,-999.9,-999.9
807,-999.9,-999.9
808,-999.9,-999.9
809,-999.9,-999.9
810,-999.9,-999.9
811,-999.9,-999.9
812,9.9,-999.9
813,-999.9,-999.9
814,-999.9,-999.9
815,6,-999.9
816,-999.9,-999.9
817,-999.9,-999.9
818,-999.9,-999.9
819,-999.9,-999.9
820,-999.9,-999.9
821,-999.9,-999.9
822,-999.9,-999.9
823,-999.9,-999.9
824,-999.9,-999.9
825,-999.9,-999.9
826,-999.9,-999.9
827,-999.9,-999.9
828,-999.9,-999.9
829,-999.9,-999.9
830,-999.9,-999.9
831,8.6,-999.9
832,-999.9,-999.9
833,-999.9,-999.9
834,-999.9,-999.9
835,-999.9,-999.9
836,-999.9,-999.9
837,-999.9,-999.9
838,-999.9,-999.9
839,-999.9,-999.9
840,-999.9,-999.9
841,-999.9,-999.9
842,-999.9,-999.9
843,-999.9,-999.9
844,-999.9,-999.9
845,-999.9,-999.9
846,-999.9,-999.9
847,-999.9,-999.9
848,-999.9,-999.9
849,-999.9,-999.9
850,-999.9,-999.9
851,5.2,-999.9
852,-999.9,-999.9
853,6.3,-999.9
854,-999.9,-999.9
855,-999.9,-999.9
856,-999.9,-999.9
857,-999.9,-999.9
858,-999.9,-999.9
859,-999.9,-999.9
860,-999.9,-999.9
861,-999.9,-999.9
862,-999.9,-999.9
863,-999.9,-999.9
864,7.4,-999.9
865,-999.9,-999.9
866,5.7,-999.9
867,-999.9,-999.9
868,-999.9,-999.9
869,8.9,-999.9
870,-999.9,-999.9
871,-999.9,-999.9
872,-999.9,-999.9
873,-999.9,-999.9
874,-999.9,-999.9
875,-999.9,-999.9
876,-999.9,-999.9
877,-999.9,-999.9
878,-999.9,-999.9
879,-999.9,-999.9
880,-999.9,-999.9
881,-999.9,-999.9
882,-999.9,-999.9
883,-999.9,-999.9
884,-999.9,-999.9
885,-999.9,-999.9
886,-999.9,-999.9
887,-999.9,-999.9
888,-999.9,-999.9
889,6.3,-999.9
890,-999.9,-999.9
891,4.9,-999.9
892,5.2,-999.9
893,-999.9,-999.9
894,5.7,-999.9
895,6.3,-999.9
896,6.3,-999.9
897,-999.9,-999.9
898,-999.9,-999.9
899,-999.9,-999.9
900,-999.9,-999.9
901,-999.9,-999.9
902,6.9,-999.9
903,-999.9,-999.9
904,-999.9,-999.9
905,-999.9,-999.9
906,-999.9,-999.9
907,-999.9,-999.9
908,8,-999.9
909,-999.9,-999.9
910,-999.9,-999.9
911,-999.9,-999.9
912,8.9,-999.9
913,4.6,-999.9
914,-999.9,-999.9
915,-999.9,-999.9
916,-999.9,-999.9
917,8.9,-999.9
918,-999.9,-999.9
919,-999.9,-999.9
920,-999.9,-999.9
921,-999.9,-999.9
922,-999.9,-999.9
923,6.3,-999.9
924,-999.9,-999.9
925,-999.9,-999.9
926,8,-999.9
927,-999.9,-999.9
928,-999.9,-999.9
929,-999.9,-999.9
930,8.3,-999.9
931,-999.9,-999.9
932,-999.9,-999.9
933,5.7,-999.9
934,-999.9,-999.9
935,-999.9,-999.9
936,-999.9,-999.9
937,-999.9,-999.9
938,-999.9,-999.9
939,-999.9,-999.9
940,-999.9,-999.9
941,4.9,-999.9
942,-999.9,-999.9
943,-999.9,-999.9
944,-999.9,-999.9
945,-999.9,-999.9
946,-999.9,-999.9
947,-999.9,-999.9
948,-999.9,-999.9
949,5.4,-999.9
950,8.9,-999.9
951,-999.9,-999.9
952,-999.9,-999.9
953,-999.9,-999.9
954,-999.9,-999.9
955,10.8,-999.9
956,-999.9,-999.9
957,4.1,-999.9
958,4.9,-999.9
959,8.3,-999.9
960,7.2,-999.9
961,11.5,-999.9
962,-999.9,-999.9
963,9.3,-999.9
964,-999.9,-999.9
965,6.3,-999.9
966,8,-999.9
967,6.6,-999.9
968,-999.9,-999.9
969,8,-999.9
